Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 19 May,25h 45m,1 stop,In-flight meal not included,10844
Jet Airways,27/03/2019,New Delhi,Cochin,DEL → MAA → BOM → COK,05:10,04:25 28 Mar,23h 15m,2 stops,In-flight meal not included,9412
Jet Airways,15/03/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,8040
Air India,21/03/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,2050
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,No info,13941
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,20:40 25 Mar,23h 30m,1 stop,In-flight meal not included,10031
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,23:00,6h 5m,1 stop,In-flight meal not included,11087
IndiGo,12/06/2019,New Delhi,Cochin,DEL → BOM → COK,20:25,01:30 13 Jun,5h 5m,1 stop,No info,5058
Jet Airways,21/03/2019,New Delhi,Cochin,DEL → AMD → BOM → COK,19:10,18:50 22 Mar,23h 40m,2 stops,No info,9483
GoAir,09/03/2019,Banglore,New Delhi,BLR → GOI → DEL,15:50,20:15,4h 25m,1 stop,No info,7657
IndiGo,12/05/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754
Vistara,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,23:25 19 May,27h 5m,1 stop,No info,9345
SpiceJet,9/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:45,2h 30m,non-stop,No info,4622
Air India,27/05/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4145
GoAir,12/05/2019,Kolkata,Banglore,CCU → AMD → BLR,16:40,00:15 13 May,7h 35m,1 stop,No info,8855
Vistara,9/03/2019,New Delhi,Cochin,DEL → COK,14:55,17:50,2h 55m,non-stop,No info,6741
Vistara,3/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,5944
Jet Airways,9/03/2019,New Delhi,Cochin,DEL → BOM → COK,06:50,04:25 10 Mar,21h 35m,1 stop,No info,16289
Air India,21/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,07:55 22 May,23h 35m,2 stops,No info,11222
SpiceJet,09/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No info,5126
Vistara,18/06/2019,Banglore,New Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,18:15 13 Jun,28h 10m,1 stop,In-flight meal not included,8529
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,No info,8355
SpiceJet,9/06/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,2227
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,8033
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,10844
Multiple carriers,21/05/2019,New Delhi,Cochin,DEL → BOM → COK,09:15,19:15,10h,1 stop,No info,8099
Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → NAG → DEL,08:50,10:15 13 Mar,25h 25m,2 stops,No info,12778
Air India,27/06/2019,New Delhi,Cochin,DEL → CCU → BOM → COK,06:50,07:40 28 Jun,24h 50m,2 stops,No info,14431
IndiGo,03/03/2019,Banglore,New Delhi,BLR → LKO → DEL,05:25,10:10,4h 45m,1 stop,No info,7774
IndiGo,18/05/2019,New Delhi,Cochin,DEL → BOM → COK,18:35,01:30 19 May,6h 55m,1 stop,No info,7503
Multiple carriers,6/03/2019,New Delhi,Cochin,DEL → BOM → COK,07:30,19:15,11h 45m,1 stop,No info,15353
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:55 10 May,17h 55m,1 stop,No info,10953
Jet Airways,9/06/2019,New Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 10 Jun,18h 45m,2 stops,No info,13014
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,07:40 19 Mar,13h,1 stop,In-flight meal not included,7832
